,acode,Month,total,airport,city,state,country,lat,long,delayed,fpm,dpf
2411,STL,10,96634,Lambert-St Louis International,St Louis,MO,USA,38.74768694,-90.35998972,1,13268,7.283237866
1162,IAH,9,96293,George Bush Intercontinental,Houston,TX,USA,29.98047222,-95.33972222,1,10371,9.284832707
726,DTW,10,96285,Detroit Metropolitan-Wayne County,Detroit,MI,USA,42.21205889,-83.34883583,1,11276,8.538932245
529,CLT,1,95127,Charlotte/Douglas International,Charlotte,NC,USA,35.21401111,-80.94312583,1,11219,8.479097959
1354,LAS,9,94581,McCarran International,Las Vegas,NV,USA,36.08036111,-115.1523333,1,11636,8.128308697
1989,PIT,1,94439,Pittsburgh International,Pittsburgh,PA,USA,40.49146583,-80.23287083,1,9382,10.0659774
531,CLT,12,94040,Charlotte/Douglas International,Charlotte,NC,USA,35.21401111,-80.94312583,1,9898,9.500909275
2352,SLC,3,93879,Salt Lake City Intl,Salt Lake City,UT,USA,40.78838778,-111.9777731,1,6796,13.81386109
2315,SJC,6,93810,San Jose International,San Jose,CA,USA,37.36186194,-121.9290089,1,6442,14.56224775
524,CLT,2,92895,Charlotte/Douglas International,Charlotte,NC,USA,35.21401111,-80.94312583,1,10114,9.184793356
1101,HOU,2,92703,William P Hobby,Houston,TX,USA,29.64541861,-95.27888889,1,4681,19.80410169
1159,IAH,10,91603,George Bush Intercontinental,Houston,TX,USA,29.98047222,-95.33972222,1,9726,9.41836315
621,DAL,2,91581,Dallas Love ,Dallas,TX,USA,32.84711389,-96.85177222,1,3829,23.91773309
813,EWR,1,91367,Newark Intl,Newark,NJ,USA,40.69249722,-74.16866056,1,10564,8.648901931
2506,TPA,7,91306,Tampa International ,Tampa,FL,USA,27.97547222,-82.53325,1,5892,15.49660557
1803,OAK,7,90226,Metropolitan Oakland International,Oakland,CA,USA,37.72129083,-122.2207167,1,5726,15.75724764
1757,MSP,5,89447,Minneapolis-St Paul Intl,Minneapolis,MN,USA,44.88054694,-93.2169225,1,12466,7.175276753
2502,TPA,8,89033,Tampa International ,Tampa,FL,USA,27.97547222,-82.53325,1,5949,14.96604471
1578,MDW,6,88977,Chicago Midway,Chicago,IL,USA,41.7859825,-87.75242444,1,4182,21.27618364
732,DTW,11,88359,Detroit Metropolitan-Wayne County,Detroit,MI,USA,42.21205889,-83.34883583,1,10609,8.328683194
2164,SAN,5,88109,San Diego International-Lindbergh ,San Diego,CA,USA,32.73355611,-117.1896567,1,7224,12.19670543
1582,MEM,6,87965,Memphis International,Memphis,TN,USA,35.04241667,-89.97666667,1,5013,17.54737682
2262,SEA,5,87896,Seattle-Tacoma Intl,Seattle,WA,USA,47.44898194,-122.3093131,1,8988,9.779261237
527,CLT,5,87622,Charlotte/Douglas International,Charlotte,NC,USA,35.21401111,-80.94312583,1,11371,7.705742679
400,BWI,4,87422,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,1,8504,10.28010348
1290,JFK,5,87381,John F Kennedy Intl,New York,NY,USA,40.63975111,-73.77892556,1,5777,15.12567076
1164,IAH,1,86930,George Bush Intercontinental,Houston,TX,USA,29.98047222,-95.33972222,1,11213,7.752608579
894,FLL,8,86808,Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,USA,26.07258333,-80.15275,1,4635,18.72880259
2504,TPA,1,86686,Tampa International ,Tampa,FL,USA,27.97547222,-82.53325,1,5991,14.46937072
2316,SJC,7,86425,San Jose International,San Jose,CA,USA,37.36186194,-121.9290089,1,6667,12.96310184
654,DCA,8,86031,Ronald Reagan Washington National,Arlington,VA,USA,38.85208333,-77.03772222,1,8338,10.31794195
2359,SLC,4,85058,Salt Lake City Intl,Salt Lake City,UT,USA,40.78838778,-111.9777731,1,6460,13.16687307
1378,LAX,10,84799,Los Angeles International,Los Angeles,CA,USA,33.94253611,-118.4080744,1,16072,5.276194624
625,DAL,6,84678,Dallas Love ,Dallas,TX,USA,32.84711389,-96.85177222,1,4107,20.61796932
1104,HOU,7,83587,William P Hobby,Houston,TX,USA,29.64541861,-95.27888889,1,5206,16.05589704
1777,MSY,6,83540,New Orleans International ,New Orleans,LA,USA,29.99338889,-90.25802778,1,4250,19.65647059
1636,MIA,5,83127,Miami International,Miami,FL,USA,25.79325,-80.29055556,1,6892,12.06137551
1765,MSP,1,82780,Minneapolis-St Paul Intl,Minneapolis,MN,USA,44.88054694,-93.2169225,1,12025,6.883991684
2350,SLC,6,82582,Salt Lake City Intl,Salt Lake City,UT,USA,40.78838778,-111.9777731,1,6495,12.71470362
2274,SFO,9,82545,San Francisco International,San Francisco,CA,USA,37.61900194,-122.3748433,1,10220,8.076810176
895,FLL,7,82449,Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,USA,26.07258333,-80.15275,1,4650,17.73096774
1155,IAD,7,81290,Washington Dulles International,Chantilly,VA,USA,38.94453194,-77.45580972,1,4924,16.50893582
1979,PIT,2,81251,Pittsburgh International,Pittsburgh,PA,USA,40.49146583,-80.23287083,1,8423,9.646325537
1532,MCI,2,81005,Kansas City International,Kansas City,MO,USA,39.29760528,-94.71390556,1,4781,16.94310814
300,BOS,5,80832,Gen Edw L Logan Intl,Boston,MA,USA,42.3643475,-71.00517917,1,12332,6.554654557
2324,SJC,5,80456,San Jose International,San Jose,CA,USA,37.36186194,-121.9290089,1,6498,12.38165589
2509,TPA,2,79594,Tampa International ,Tampa,FL,USA,27.97547222,-82.53325,1,5667,14.04517381
113,ATL,10,79306,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,1,18708,4.239149027
1158,IAH,11,79287,George Bush Intercontinental,Houston,TX,USA,29.98047222,-95.33972222,1,9743,8.137842554
1937,PDX,8,79187,Portland Intl,Portland,OR,USA,45.58872222,-122.5975,1,5157,15.3552453
1165,IAH,2,78644,George Bush Intercontinental,Houston,TX,USA,29.98047222,-95.33972222,1,10156,7.743599842
1800,OAK,11,78033,Metropolitan Oakland International,Oakland,CA,USA,37.72129083,-122.2207167,1,4638,16.82470893
1587,MEM,7,77864,Memphis International,Memphis,TN,USA,35.04241667,-89.97666667,1,5090,15.29744597
899,FLL,2,77738,Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,USA,26.07258333,-80.15275,1,4420,17.58778281
1539,MCI,6,77097,Kansas City International,Kansas City,MO,USA,39.29760528,-94.71390556,1,5311,14.51647524
2159,SAN,10,76667,San Diego International-Lindbergh ,San Diego,CA,USA,32.73355611,-117.1896567,1,6206,12.35368998
1982,PIT,12,76297,Pittsburgh International,Pittsburgh,PA,USA,40.49146583,-80.23287083,1,8186,9.320425116
